property_id,location_id,page_url,property_type,price,location,city,province_name,latitude,longitude,baths,area,purpose,bedrooms,date_added,agency,agent,Area Type,Area Size,Area Category
8731779,4900,https://www.zameen.com/Property/faisalabad_air_avenue_city_house_is_available_for_rent-8731779-4900-4.html,House,40000,Air Avenue City,Faisalabad,Punjab,31.391487,72.995389,6,14 Marla,For Rent,8,7/17/2019,,,Marla,14,10-15 Marla
8647131,10237,https://www.zameen.com/Property/satellite_town_satellite_town_block_a_1_kanal_house_for_rent-8647131-10237-4.html,House,350000,Satellite Town,Rawalpindi,Punjab,33.635047,73.07582,7,1 Kanal,For Rent,11,7/8/2019,,,Kanal,1,1-5 Kanal
8649021,3041,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_4_bahria_height_beautiful_fully_furnished_1_bedroom_family_apartment_available-8649021-3041-4.html,Flat,50000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.549693,73.130536,1,3.7 Marla,For Rent,1,7/13/2019,Khawaja Corporation,Khawaja Shoaib Zafar,Marla,3.7,0-5 Marla
8654532,1504,https://www.zameen.com/Property/rawalpindi_askari_14_brand_new_apartment_for_rent_in_askari_14-8654532-1504-4.html,Flat,40000,Askari 14,Rawalpindi,Punjab,33.543004,73.067576,3,10 Marla,For Rent,3,7/13/2019,Al Hamdan Real Estate,Ch Sheraz Iqbal,Marla,10,5-10 Marla
8701802,8134,https://www.zameen.com/Property/rawalpindi_saidpur_road_apartment_for_rent-8701802-8134-4.html,Flat,25000,Saidpur Road,Rawalpindi,Punjab,33.63839141,73.0631268,2,3 Marla,For Rent,3,7/8/2019,,,Marla,3,0-5 Marla
8708514,3048,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_8_flat_for_rent_in_bahria_town_phase_8-8708514-3048-4.html,Flat,12000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.485576,73.08393,1,1.4 Marla,For Rent,1,7/8/2019,Khosa Estate & Builders,Bilal Khan,Marla,1.4,0-5 Marla
8709269,6016,https://www.zameen.com/Property/rawalpindi_friends_colony_house_is_available_for_rent-8709269-6016-4.html,House,16000,Friends Colony,Rawalpindi,Punjab,33.603504,72.997584,2,5 Marla,For Rent,3,7/8/2019,,,Marla,5,0-5 Marla
8711280,12001,https://www.zameen.com/Property/rawalpindi_bilal_colony_house_is_available_for_rent-8711280-12001-4.html,House,23000,Bilal Colony,Rawalpindi,Punjab,33.646551,73.086988,3,5 Marla,For Rent,3,7/8/2019,,,Marla,5,0-5 Marla
8713476,1141,https://www.zameen.com/Property/rawalpindi_dhok_kashmirian_house_is_available_for_rent-8713476-1141-4.html,House,18000,Dhok Kashmirian,Rawalpindi,Punjab,33.643,73.083284,0,3.3 Marla,For Rent,0,7/8/2019,,,Marla,3.3,0-5 Marla
8713853,1141,https://www.zameen.com/Property/rawalpindi_dhok_kashmirian_house_is_available_for_rent-8713853-1141-4.html,House,18000,Dhok Kashmirian,Rawalpindi,Punjab,33.643,73.083284,0,4 Marla,For Rent,0,7/8/2019,,,Marla,4,0-5 Marla
8713986,426,https://www.zameen.com/Property/rawalpindi_airport_housing_society_lower_portion_for_rent-8713986-426-4.html,Lower Portion,23000,Airport Housing Society,Rawalpindi,Punjab,33.59081855,73.12506773,0,6 Marla,For Rent,3,7/8/2019,,,Marla,6,5-10 Marla
8714620,3048,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_8_bahria_heights_flat_is_available_for_rent-8714620-3048-4.html,Flat,40000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.485576,73.08393,2,5 Marla,For Rent,1,7/8/2019,,,Marla,5,0-5 Marla
8726427,9210,https://www.zameen.com/Property/rawalpindi_high_court_road_a_portion_is_available_for_rent-8726427-9210-4.html,Upper Portion,19000,High Court Road,Rawalpindi,Punjab,33.563236,73.10212,0,7 Marla,For Rent,3,7/8/2019,,,Marla,7,5-10 Marla
